          Teff = 3500 K,  log g = 0.0,  [M/H] = -5.0

 bolo   0.357 (0.0951)    0.547  0.285 (0.0124)   -0.070  0.712 (0.0019)
  u     0.626 (0.0115)    0.647  0.032 (0.0028)    0.579  0.079 (0.0013)
  v     0.623 (0.0128)    0.648  0.037 (0.0022)    0.568  0.093 (0.0005)
  b     0.621 (0.0132)    0.645  0.037 (0.0028)    0.565  0.092 (0.0011)
  y     0.629 (0.0097)    0.642  0.021 (0.0043)    0.597  0.052 (0.0034)
  U     0.624 (0.0123)    0.648  0.035 (0.0025)    0.572  0.087 (0.0008)
  B     0.623 (0.0127)    0.646  0.035 (0.0029)    0.570  0.088 (0.0012)
  V     0.630 (0.0091)    0.642  0.018 (0.0044)    0.602  0.046 (0.0036)
  R     0.608 (0.0198)    0.651  0.065 (0.0007)    0.511  0.162 (0.0028)
  I     0.524 (0.0598)    0.661  0.206 (0.0064)    0.216  0.514 (0.0162)
  J     0.372 (0.1125)    0.602  0.345 (0.0094)   -0.145  0.863 (0.0114)
  K     0.230 (0.1257)    0.462  0.347 (0.0322)   -0.291  0.868 (0.0156)
  L     0.153 (0.0754)    0.282  0.193 (0.0275)   -0.136  0.482 (0.0185)
  M     0.124 (0.0690)    0.240  0.175 (0.0249)   -0.138  0.437 (0.0165)
  N     0.073 (0.0484)    0.159  0.129 (0.0144)   -0.120  0.322 (0.0082)
  Rc    0.620 (0.0135)    0.647  0.039 (0.0023)    0.562  0.098 (0.0005)
  Ic    0.578 (0.0354)    0.661  0.125 (0.0045)    0.391  0.312 (0.0103)
 230    0.660 (0.0053)    0.645 -0.022 (0.0054)    0.694 -0.056 (0.0065)
 250    0.642 (0.0054)    0.646  0.007 (0.0040)    0.632  0.017 (0.0037)
 270    0.627 (0.0109)    0.645  0.028 (0.0032)    0.585  0.070 (0.0019)
 290    0.631 (0.0094)    0.645  0.022 (0.0036)    0.597  0.056 (0.0025)
 310    0.636 (0.0079)    0.646  0.016 (0.0040)    0.612  0.040 (0.0033)
 330    0.629 (0.0099)    0.645  0.025 (0.0034)    0.592  0.062 (0.0022)
 TyB    0.622 (0.0131)    0.647  0.037 (0.0025)    0.566  0.094 (0.0008)
 TyV    0.629 (0.0095)    0.642  0.020 (0.0043)    0.599  0.051 (0.0034)
 HIP    0.622 (0.0125)    0.646  0.035 (0.0028)    0.570  0.087 (0.0012)
 858    0.539 (0.0544)    0.666  0.191 (0.0078)    0.251  0.479 (0.0168)


          Teff = 3500 K,  log g = 0.5,  [M/H] = -5.0

 bolo   0.329 (0.1021)    0.530  0.301 (0.0156)   -0.123  0.753 (0.0018)
  u     0.625 (0.0121)    0.648  0.034 (0.0026)    0.574  0.085 (0.0010)
  v     0.624 (0.0128)    0.648  0.036 (0.0025)    0.570  0.090 (0.0009)
  b     0.623 (0.0122)    0.644  0.032 (0.0033)    0.575  0.080 (0.0018)
  y     0.630 (0.0093)    0.643  0.020 (0.0042)    0.600  0.050 (0.0033)
  U     0.624 (0.0128)    0.648  0.037 (0.0024)    0.569  0.092 (0.0007)
  B     0.625 (0.0118)    0.645  0.031 (0.0033)    0.578  0.077 (0.0019)
  V     0.627 (0.0106)    0.644  0.026 (0.0036)    0.588  0.065 (0.0023)
  R     0.572 (0.0374)    0.658  0.128 (0.0034)    0.379  0.321 (0.0095)
  I     0.467 (0.0832)    0.652  0.277 (0.0052)    0.052  0.692 (0.0184)
  J     0.322 (0.1213)    0.559  0.357 (0.0178)   -0.213  0.891 (0.0057)
  K     0.219 (0.1278)    0.455  0.355 (0.0314)   -0.313  0.887 (0.0143)
  L     0.144 (0.0785)    0.279  0.203 (0.0272)   -0.160  0.507 (0.0176)
  M     0.118 (0.0711)    0.239  0.182 (0.0248)   -0.155  0.455 (0.0162)
  N     0.070 (0.0461)    0.150  0.119 (0.0159)   -0.109  0.298 (0.0103)
  Rc    0.593 (0.0269)    0.654  0.091 (0.0014)    0.457  0.227 (0.0056)
  Ic    0.524 (0.0605)    0.664  0.209 (0.0071)    0.210  0.523 (0.0172)
 230    0.663 (0.0035)    0.654 -0.013 (0.0039)    0.683 -0.033 (0.0046)
 250    0.643 (0.0059)    0.650  0.010 (0.0034)    0.628  0.026 (0.0029)
