          Teff = 3500 K,  log g = 0.0,  [M/H] = +0.0

 bolo   0.482 (0.0672)    0.605  0.185 (0.0171)    0.205  0.462 (0.0082)
  u     0.728 (0.0506)    0.799  0.107 (0.0233)    0.567  0.267 (0.0183)
  v     0.916 (0.0735)    0.716 -0.301 (0.0360)    1.367 -0.752 (0.0500)
  b     1.089 (0.1229)    0.776 -0.469 (0.0401)    1.793 -1.174 (0.0625)
  y     0.988 (0.0688)    0.808 -0.269 (0.0308)    1.392 -0.674 (0.0437)
  U     0.770 (0.0303)    0.780  0.015 (0.0278)    0.747  0.039 (0.0271)
  B     1.034 (0.1046)    0.762 -0.407 (0.0392)    1.645 -1.019 (0.0585)
  V     0.970 (0.0606)    0.811 -0.240 (0.0301)    1.330 -0.599 (0.0416)
  R     0.825 (0.0218)    0.794 -0.046 (0.0272)    0.893 -0.114 (0.0294)
  I     0.627 (0.0533)    0.710  0.123 (0.0236)    0.443  0.308 (0.0177)
  J     0.491 (0.0565)    0.599  0.161 (0.0131)    0.250  0.402 (0.0056)
  K     0.321 (0.1056)    0.529  0.311 (0.0166)   -0.146  0.779 (0.0017)
  L     0.241 (0.0773)    0.391  0.225 (0.0139)   -0.096  0.562 (0.0030)
  M     0.134 (0.0434)    0.212  0.118 (0.0123)   -0.043  0.295 (0.0067)
  N     0.115 (0.0363)    0.181  0.099 (0.0097)   -0.034  0.248 (0.0050)
  Rc    0.879 (0.0269)    0.811 -0.101 (0.0273)    1.030 -0.253 (0.0322)
  Ic    0.707 (0.0432)    0.760  0.080 (0.0255)    0.586  0.201 (0.0217)
 230    0.670 (0.0107)    0.656 -0.020 (0.0058)    0.700 -0.051 (0.0048)
 250    0.780 (0.0461)    0.883  0.155 (0.0033)    0.548  0.387 (0.0107)
 270    0.754 (0.0857)    0.935  0.271 (0.0037)    0.347  0.678 (0.0096)
 290    0.711 (0.1046)    0.927  0.324 (0.0086)    0.226  0.809 (0.0072)
 310    0.653 (0.1096)    0.874  0.331 (0.0130)    0.156  0.828 (0.0033)
 330    0.644 (0.0942)    0.828  0.276 (0.0148)    0.231  0.689 (0.0026)
 TyB    1.010 (0.1018)    0.744 -0.399 (0.0389)    1.609 -0.997 (0.0578)
 TyV    0.986 (0.0685)    0.806 -0.270 (0.0318)    1.391 -0.675 (0.0447)
 HIP    0.937 (0.0500)    0.803 -0.201 (0.0304)    1.239 -0.503 (0.0401)
 858    0.695 (0.0472)    0.758  0.095 (0.0259)    0.552  0.237 (0.0213)


          Teff = 3500 K,  log g = 0.5,  [M/H] = +0.0

 bolo   0.475 (0.0672)    0.597  0.184 (0.0176)    0.199  0.459 (0.0087)
  u     0.773 (0.0319)    0.787  0.020 (0.0283)    0.743  0.050 (0.0274)
  v     0.957 (0.0855)    0.728 -0.343 (0.0368)    1.471 -0.857 (0.0528)
  b     1.112 (0.1253)    0.793 -0.477 (0.0396)    1.827 -1.193 (0.0623)
  y     0.992 (0.0679)    0.813 -0.267 (0.0310)    1.392 -0.668 (0.0438)
  U     0.822 (0.0230)    0.772 -0.075 (0.0318)    0.934 -0.187 (0.0353)
  B     1.049 (0.1052)    0.776 -0.409 (0.0387)    1.663 -1.023 (0.0581)
  V     0.974 (0.0606)    0.813 -0.240 (0.0303)    1.334 -0.601 (0.0418)
  R     0.815 (0.0224)    0.780 -0.053 (0.0282)    0.896 -0.134 (0.0307)
  I     0.619 (0.0532)    0.699  0.121 (0.0241)    0.437  0.303 (0.0182)
  J     0.481 (0.0572)    0.588  0.160 (0.0142)    0.241  0.401 (0.0067)
  K     0.319 (0.1042)    0.524  0.307 (0.0164)   -0.142  0.769 (0.0016)
  L     0.239 (0.0749)    0.384  0.218 (0.0133)   -0.088  0.545 (0.0029)
  M     0.127 (0.0418)    0.202  0.113 (0.0120)   -0.043  0.283 (0.0066)
  N     0.112 (0.0354)    0.176  0.097 (0.0096)   -0.033  0.242 (0.0049)
  Rc    0.874 (0.0292)    0.799 -0.113 (0.0283)    1.044 -0.282 (0.0338)
  Ic    0.698 (0.0419)    0.746  0.073 (0.0261)    0.588  0.182 (0.0226)
 230    0.639 (0.0087)    0.631 -0.011 (0.0064)    0.656 -0.028 (0.0059)
 250    0.748 (0.0523)    0.865  0.175 (0.0036)    0.485  0.438 (0.0120)
 270    0.725 (0.0939)    0.922  0.296 (0.0049)    0.282  0.739 (0.0097)
 290    0.685 (0.1114)    0.912  0.341 (0.0109)    0.173  0.852 (0.0058)
 310    0.642 (0.1111)    0.862  0.331 (0.0154)    0.144  0.829 (0.0013)
 330    0.654 (0.0875)    0.818  0.246 (0.0180)    0.285  0.615 (0.0065)
 TyB    1.033 (0.1039)    0.762 -0.405 (0.0384)    1.641 -1.013 (0.0575)
 TyV    0.989 (0.0684)    0.809 -0.270 (0.0320)    1.395 -0.676 (0.0449)
 HIP    0.941 (0.0526)    0.800 -0.212 (0.0311)    1.259 -0.530 (0.0413)
