          Teff = 3500 K,  log g = 0.0,  [M/H] = -0.1

 bolo   0.486 (0.0682)    0.612  0.188 (0.0174)    0.204  0.470 (0.0083)
  u     0.707 (0.0654)    0.812  0.157 (0.0240)    0.472  0.392 (0.0166)
  v     0.912 (0.0722)    0.713 -0.299 (0.0384)    1.361 -0.747 (0.0524)
  b     1.083 (0.1229)    0.770 -0.470 (0.0411)    1.788 -1.175 (0.0635)
  y     0.984 (0.0679)    0.807 -0.266 (0.0311)    1.382 -0.664 (0.0439)
  U     0.750 (0.0424)    0.791  0.061 (0.0287)    0.659  0.152 (0.0258)
  B     1.031 (0.1048)    0.758 -0.409 (0.0401)    1.644 -1.022 (0.0595)
  V     0.965 (0.0592)    0.809 -0.234 (0.0306)    1.317 -0.585 (0.0418)
  R     0.823 (0.0235)    0.801 -0.034 (0.0284)    0.874 -0.085 (0.0301)
  I     0.625 (0.0559)    0.711  0.130 (0.0246)    0.430  0.325 (0.0183)
  J     0.492 (0.0569)    0.600  0.163 (0.0128)    0.248  0.407 (0.0053)
  K     0.324 (0.1091)    0.538  0.321 (0.0176)   -0.157  0.802 (0.0022)
  L     0.243 (0.0784)    0.395  0.228 (0.0140)   -0.099  0.570 (0.0030)
  M     0.155 (0.0627)    0.265  0.165 (0.0201)   -0.093  0.413 (0.0122)
  N     0.117 (0.0367)    0.185  0.101 (0.0095)   -0.034  0.252 (0.0047)
  Rc    0.875 (0.0255)    0.816 -0.088 (0.0284)    1.007 -0.221 (0.0326)
  Ic    0.705 (0.0471)    0.766  0.090 (0.0271)    0.570  0.226 (0.0227)
 230    1.005 (0.0030)    0.998 -0.010 (0.0003)    1.020 -0.025 (0.0008)
 250    0.937 (0.0333)    1.015  0.116 (0.0043)    0.763  0.290 (0.0099)
 270    0.833 (0.0784)    1.004  0.256 (0.0014)    0.449  0.640 (0.0135)
 290    0.756 (0.1057)    0.978  0.332 (0.0057)    0.258  0.831 (0.0106)
 310    0.673 (0.1154)    0.903  0.346 (0.0152)    0.154  0.865 (0.0017)
 330    0.649 (0.0984)    0.838  0.283 (0.0182)    0.224  0.708 (0.0046)
 TyB    1.008 (0.1027)    0.739 -0.403 (0.0403)    1.613 -1.008 (0.0594)
 TyV    0.981 (0.0672)    0.804 -0.265 (0.0323)    1.378 -0.662 (0.0450)
 HIP    0.933 (0.0477)    0.805 -0.192 (0.0312)    1.221 -0.480 (0.0404)
 858    0.671 (0.0600)    0.757  0.130 (0.0300)    0.476  0.324 (0.0238)


          Teff = 3500 K,  log g = 0.5,  [M/H] = -0.1

 bolo   0.479 (0.0686)    0.604  0.188 (0.0179)    0.198  0.469 (0.0089)
  u     0.743 (0.0495)    0.801  0.087 (0.0288)    0.613  0.217 (0.0247)
  v     0.955 (0.0856)    0.724 -0.347 (0.0399)    1.476 -0.868 (0.0561)
  b     1.107 (0.1250)    0.789 -0.477 (0.0403)    1.822 -1.191 (0.0630)
  y     0.988 (0.0663)    0.814 -0.261 (0.0313)    1.379 -0.652 (0.0438)
  U     0.795 (0.0283)    0.782 -0.020 (0.0330)    0.825 -0.050 (0.0339)
  B     1.047 (0.1056)    0.773 -0.411 (0.0397)    1.664 -1.027 (0.0592)
  V     0.969 (0.0584)    0.814 -0.232 (0.0308)    1.317 -0.580 (0.0419)
  R     0.815 (0.0245)    0.789 -0.040 (0.0301)    0.876 -0.101 (0.0320)
  I     0.617 (0.0562)    0.703  0.128 (0.0255)    0.425  0.320 (0.0194)
  J     0.482 (0.0573)    0.590  0.161 (0.0139)    0.240  0.403 (0.0064)
  K     0.322 (0.1080)    0.534  0.318 (0.0174)   -0.155  0.794 (0.0021)
  L     0.241 (0.0762)    0.389  0.222 (0.0135)   -0.092  0.555 (0.0028)
  M     0.147 (0.0609)    0.253  0.160 (0.0198)   -0.093  0.399 (0.0122)
  N     0.114 (0.0358)    0.180  0.099 (0.0093)   -0.034  0.247 (0.0046)
  Rc    0.872 (0.0275)    0.806 -0.098 (0.0298)    1.018 -0.245 (0.0345)
  Ic    0.698 (0.0466)    0.754  0.084 (0.0285)    0.572  0.209 (0.0244)
 230    0.994 (0.0032)    1.002  0.012 (0.0009)    0.976  0.031 (0.0015)
