          Teff = 3500 K,  log g = 0.0,  [M/H] = -4.5

 bolo   0.362 (0.0946)    0.551  0.284 (0.0119)   -0.065  0.711 (0.0023)
  u     0.629 (0.0107)    0.648  0.029 (0.0026)    0.585  0.074 (0.0012)
  v     0.627 (0.0121)    0.651  0.036 (0.0018)    0.574  0.089 (0.0003)
  b     0.623 (0.0124)    0.646  0.034 (0.0030)    0.573  0.084 (0.0015)
  y     0.633 (0.0079)    0.641  0.013 (0.0049)    0.614  0.032 (0.0043)
  U     0.628 (0.0115)    0.650  0.033 (0.0022)    0.579  0.082 (0.0007)
  B     0.626 (0.0118)    0.647  0.032 (0.0030)    0.578  0.079 (0.0015)
  V     0.635 (0.0073)    0.641  0.010 (0.0050)    0.619  0.025 (0.0045)
  R     0.614 (0.0174)    0.652  0.057 (0.0008)    0.528  0.142 (0.0024)
  I     0.531 (0.0580)    0.664  0.201 (0.0069)    0.229  0.502 (0.0165)
  J     0.378 (0.1118)    0.609  0.345 (0.0084)   -0.139  0.863 (0.0124)
  K     0.232 (0.1249)    0.463  0.347 (0.0313)   -0.288  0.866 (0.0147)
  L     0.155 (0.0783)    0.288  0.200 (0.0285)   -0.145  0.500 (0.0191)
  M     0.133 (0.0733)    0.260  0.190 (0.0240)   -0.153  0.476 (0.0148)
  N     0.079 (0.0541)    0.176  0.146 (0.0146)   -0.141  0.365 (0.0076)
  Rc    0.626 (0.0110)    0.647  0.031 (0.0026)    0.580  0.077 (0.0011)
  Ic    0.583 (0.0334)    0.663  0.119 (0.0049)    0.405  0.297 (0.0103)
 230    0.721 (0.0300)    0.644 -0.116 (0.0102)    0.895 -0.290 (0.0156)
 250    0.683 (0.0128)    0.649 -0.052 (0.0063)    0.760 -0.129 (0.0088)
 270    0.643 (0.0055)    0.648  0.008 (0.0038)    0.632  0.019 (0.0035)
 290    0.643 (0.0055)    0.646  0.006 (0.0044)    0.634  0.014 (0.0041)
 310    0.645 (0.0051)    0.647  0.003 (0.0045)    0.640  0.008 (0.0044)
 330    0.634 (0.0082)    0.646  0.019 (0.0035)    0.606  0.047 (0.0026)
 TyB    0.625 (0.0126)    0.649  0.036 (0.0024)    0.571  0.090 (0.0007)
 TyV    0.634 (0.0077)    0.642  0.012 (0.0048)    0.615  0.031 (0.0043)
 HIP    0.628 (0.0103)    0.646  0.027 (0.0031)    0.588  0.067 (0.0018)
 858    0.545 (0.0524)    0.669  0.186 (0.0082)    0.266  0.465 (0.0169)


          Teff = 3500 K,  log g = 0.5,  [M/H] = -4.5

 bolo   0.335 (0.1007)    0.533  0.298 (0.0149)   -0.113  0.745 (0.0015)
  u     0.627 (0.0116)    0.649  0.033 (0.0024)    0.578  0.082 (0.0008)
  v     0.630 (0.0118)    0.652  0.033 (0.0023)    0.580  0.083 (0.0009)
  b     0.627 (0.0109)    0.645  0.027 (0.0037)    0.587  0.067 (0.0025)
  y     0.635 (0.0071)    0.642  0.010 (0.0048)    0.620  0.026 (0.0043)
  U     0.627 (0.0122)    0.650  0.035 (0.0023)    0.575  0.087 (0.0007)
