          Teff = 3500 K,  log g = 0.0,  [M/H] = -0.5

 bolo   0.485 (0.0671)    0.610  0.187 (0.0158)    0.204  0.468 (0.0068)
  u     0.773 (0.0256)    0.765 -0.013 (0.0291)    0.793 -0.033 (0.0297)
  v     0.937 (0.0992)    0.673 -0.397 (0.0412)    1.532 -0.992 (0.0597)
  b     1.051 (0.1299)    0.722 -0.494 (0.0415)    1.793 -1.235 (0.0650)
  y     0.964 (0.0736)    0.776 -0.282 (0.0288)    1.387 -0.705 (0.0423)
  U     0.813 (0.0257)    0.746 -0.100 (0.0334)    0.963 -0.251 (0.0380)
  B     1.012 (0.1147)    0.717 -0.442 (0.0400)    1.675 -1.105 (0.0610)
  V     0.943 (0.0628)    0.780 -0.244 (0.0285)    1.309 -0.610 (0.0403)
  R     0.803 (0.0205)    0.785 -0.026 (0.0245)    0.841 -0.065 (0.0257)
  I     0.605 (0.0415)    0.672  0.100 (0.0166)    0.454  0.251 (0.0118)
  J     0.497 (0.0565)    0.607  0.164 (0.0114)    0.252  0.409 (0.0038)
  K     0.322 (0.1127)    0.542  0.330 (0.0186)   -0.173  0.826 (0.0027)
  L     0.244 (0.0810)    0.401  0.236 (0.0144)   -0.110  0.590 (0.0030)
  M     0.160 (0.0604)    0.266  0.160 (0.0188)   -0.081  0.401 (0.0112)
  N     0.121 (0.0371)    0.190  0.104 (0.0088)   -0.035  0.260 (0.0039)
  Rc    0.850 (0.0226)    0.801 -0.074 (0.0254)    0.961 -0.184 (0.0289)
  Ic    0.680 (0.0369)    0.730  0.075 (0.0200)    0.568  0.187 (0.0164)
 230    1.007 (0.0041)    0.998 -0.013 (0.0003)    1.026 -0.033 (0.0008)
 250    0.928 (0.0359)    1.011  0.124 (0.0038)    0.743  0.309 (0.0098)
 270    0.831 (0.0742)    0.991  0.241 (0.0009)    0.470  0.602 (0.0119)
 290    0.760 (0.0979)    0.965  0.308 (0.0056)    0.299  0.769 (0.0094)
 310    0.688 (0.0999)    0.887  0.299 (0.0134)    0.240  0.747 (0.0013)
 330    0.687 (0.0673)    0.804  0.175 (0.0193)    0.424  0.438 (0.0111)
 TyB    0.996 (0.1165)    0.695 -0.452 (0.0409)    1.674 -1.129 (0.0622)
 TyV    0.957 (0.0709)    0.774 -0.275 (0.0304)    1.369 -0.687 (0.0436)
 HIP    0.907 (0.0470)    0.782 -0.187 (0.0287)    1.187 -0.467 (0.0377)
 858    0.596 (0.0457)    0.671  0.112 (0.0177)    0.427  0.281 (0.0123)


          Teff = 3500 K,  log g = 0.5,  [M/H] = -0.5

 bolo   0.481 (0.0670)    0.604  0.186 (0.0164)    0.202  0.464 (0.0074)
  u     0.845 (0.0359)    0.740 -0.158 (0.0394)    1.082 -0.395 (0.0467)
  v     0.999 (0.1224)    0.681 -0.478 (0.0432)    1.716 -1.195 (0.0655)
  b     1.088 (0.1349)    0.749 -0.508 (0.0395)    1.850 -1.270 (0.0637)
  y     0.974 (0.0714)    0.791 -0.274 (0.0284)    1.385 -0.685 (0.0415)
  U     0.886 (0.0544)    0.728 -0.237 (0.0411)    1.241 -0.592 (0.0521)
  B     1.044 (0.1208)    0.736 -0.461 (0.0391)    1.736 -1.153 (0.0610)
  V     0.951 (0.0609)    0.793 -0.237 (0.0280)    1.307 -0.593 (0.0395)
  R     0.800 (0.0213)    0.777 -0.034 (0.0258)    0.851 -0.086 (0.0275)
  I     0.594 (0.0431)    0.662  0.102 (0.0181)    0.441  0.255 (0.0132)
  J     0.490 (0.0560)    0.597  0.161 (0.0120)    0.249  0.402 (0.0045)
  K     0.320 (0.1119)    0.539  0.328 (0.0185)   -0.172  0.820 (0.0027)
  L     0.243 (0.0793)    0.397  0.231 (0.0139)   -0.104  0.578 (0.0027)
  M     0.151 (0.0581)    0.254  0.154 (0.0185)   -0.079  0.384 (0.0112)
  N     0.119 (0.0355)    0.185  0.098 (0.0088)   -0.028  0.245 (0.0042)
  Rc    0.852 (0.0241)    0.797 -0.082 (0.0262)    0.975 -0.206 (0.0302)
  Ic    0.672 (0.0374)    0.719  0.071 (0.0217)    0.565  0.178 (0.0183)
 230    0.994 (0.0028)    1.002  0.011 (0.0011)    0.978  0.028 (0.0016)
 250    0.908 (0.0460)    1.012  0.157 (0.0040)    0.673  0.392 (0.0115)
 270    0.805 (0.0861)    0.990  0.278 (0.0013)    0.389  0.694 (0.0129)
 290    0.731 (0.1099)    0.960  0.342 (0.0077)    0.218  0.855 (0.0091)
 310    0.674 (0.1046)    0.878  0.305 (0.0175)    0.217  0.762 (0.0031)
 330    0.726 (0.0483)    0.780  0.081 (0.0289)    0.604  0.203 (0.0251)
 TyB    1.038 (0.1267)    0.715 -0.484 (0.0401)    1.765 -1.211 (0.0630)
 TyV    0.968 (0.0697)    0.787 -0.271 (0.0298)    1.374 -0.676 (0.0428)
 HIP    0.918 (0.0499)    0.786 -0.198 (0.0290)    1.215 -0.495 (0.0386)
 858    0.588 (0.0485)    0.666  0.118 (0.0192)    0.410  0.296 (0.0136)


          Teff = 3500 K,  log g = 1.0,  [M/H] = -0.5

 bolo   0.475 (0.0663)    0.597  0.183 (0.0165)    0.201  0.458 (0.0077)
  u     0.923 (0.0725)    0.715 -0.312 (0.0457)    1.391 -0.780 (0.0601)
  v     1.042 (0.1351)    0.696 -0.518 (0.0414)    1.819 -1.295 (0.0656)
  b     1.110 (0.1354)    0.772 -0.507 (0.0371)    1.869 -1.266 (0.0612)
  y     0.978 (0.0699)    0.799 -0.269 (0.0278)    1.382 -0.672 (0.0407)
  U     0.950 (0.0846)    0.716 -0.351 (0.0440)    1.477 -0.878 (0.0603)
  B     1.062 (0.1224)    0.753 -0.464 (0.0370)    1.759 -1.161 (0.0591)
  V     0.955 (0.0601)    0.799 -0.234 (0.0273)    1.306 -0.585 (0.0385)
  R     0.794 (0.0210)    0.764 -0.046 (0.0259)    0.862 -0.114 (0.0281)
  I     0.586 (0.0441)    0.655  0.104 (0.0188)    0.430  0.259 (0.0138)
  J     0.483 (0.0564)    0.590  0.161 (0.0124)    0.241  0.403 (0.0049)
  K     0.315 (0.1098)    0.530  0.323 (0.0177)   -0.169  0.807 (0.0022)
  L     0.240 (0.0777)    0.392  0.227 (0.0135)   -0.100  0.567 (0.0026)
  M     0.137 (0.0489)    0.223  0.130 (0.0153)   -0.058  0.325 (0.0091)
  N     0.115 (0.0350)    0.180  0.097 (0.0087)   -0.030  0.243 (0.0041)
  Rc    0.851 (0.0260)    0.787 -0.095 (0.0261)    0.994 -0.238 (0.0306)
  Ic    0.663 (0.0366)    0.708  0.067 (0.0221)    0.562  0.168 (0.0189)
 230    0.956 (0.0249)    1.016  0.089 (0.0047)    0.822  0.223 (0.0089)
 250    0.835 (0.0774)    1.003  0.251 (0.0009)    0.458  0.628 (0.0124)
 270    0.737 (0.1081)    0.961  0.336 (0.0078)    0.233  0.841 (0.0087)
 290    0.679 (0.1196)    0.921  0.362 (0.0138)    0.136  0.906 (0.0039)
 310    0.668 (0.0931)    0.840  0.258 (0.0206)    0.281  0.646 (0.0085)
 330    0.804 (0.0272)    0.738 -0.099 (0.0384)    0.953 -0.248 (0.0430)
 TyB    1.064 (0.1298)    0.736 -0.491 (0.0376)    1.801 -1.229 (0.0608)
 TyV    0.973 (0.0689)    0.794 -0.267 (0.0290)    1.374 -0.669 (0.0418)
 HIP    0.924 (0.0527)    0.785 -0.209 (0.0285)    1.237 -0.521 (0.0386)
