          Teff = 3500 K,  log g = 0.0,  [M/H] = -1.0

 bolo   0.481 (0.0707)    0.614  0.199 (0.0157)    0.182  0.497 (0.0062)
  u     0.794 (0.0248)    0.721 -0.109 (0.0270)    0.957 -0.273 (0.0321)
  v     0.898 (0.0958)    0.643 -0.383 (0.0392)    1.473 -0.958 (0.0571)
  b     0.989 (0.1268)    0.666 -0.484 (0.0410)    1.716 -1.211 (0.0640)
  y     0.932 (0.0816)    0.728 -0.306 (0.0263)    1.391 -0.765 (0.0410)
  U     0.822 (0.0392)    0.707 -0.172 (0.0311)    1.080 -0.431 (0.0392)
  B     0.960 (0.1128)    0.671 -0.435 (0.0386)    1.612 -1.087 (0.0592)
  V     0.911 (0.0701)    0.733 -0.266 (0.0257)    1.310 -0.666 (0.0385)
  R     0.783 (0.0187)    0.773 -0.016 (0.0214)    0.806 -0.039 (0.0222)
  I     0.617 (0.0484)    0.698  0.121 (0.0180)    0.435  0.304 (0.0122)
  J     0.501 (0.0587)    0.617  0.173 (0.0103)    0.242  0.432 (0.0024)
  K     0.316 (0.1161)    0.541  0.338 (0.0201)   -0.192  0.845 (0.0038)
  L     0.242 (0.0843)    0.405  0.245 (0.0151)   -0.126  0.613 (0.0033)
  M     0.164 (0.0567)    0.266  0.153 (0.0166)   -0.065  0.382 (0.0094)
  N     0.124 (0.0381)    0.195  0.107 (0.0088)   -0.037  0.267 (0.0037)
  Rc    0.821 (0.0206)    0.776 -0.069 (0.0219)    0.924 -0.172 (0.0252)
  Ic    0.684 (0.0419)    0.747  0.094 (0.0199)    0.544  0.234 (0.0154)
 230    0.998 (0.0010)    1.000  0.003 (0.0014)    0.994  0.007 (0.0015)
 250    0.908 (0.0388)    0.994  0.128 (0.0015)    0.715  0.321 (0.0077)
 270    0.828 (0.0608)    0.958  0.194 (0.0018)    0.537  0.486 (0.0077)
 290    0.772 (0.0749)    0.928  0.234 (0.0053)    0.421  0.585 (0.0060)
 310    0.722 (0.0635)    0.846  0.185 (0.0108)    0.444  0.463 (0.0023)
 330    0.724 (0.0297)    0.759  0.053 (0.0169)    0.644  0.132 (0.0145)
 TyB    0.943 (0.1122)    0.653 -0.436 (0.0394)    1.597 -1.090 (0.0599)
 TyV    0.922 (0.0769)    0.726 -0.293 (0.0278)    1.361 -0.732 (0.0418)
 HIP    0.870 (0.0466)    0.748 -0.183 (0.0255)    1.144 -0.457 (0.0343)
 858    0.636 (0.0636)    0.740  0.157 (0.0251)    0.401  0.392 (0.0176)


          Teff = 3500 K,  log g = 0.5,  [M/H] = -1.0

 bolo   0.478 (0.0702)    0.610  0.197 (0.0161)    0.183  0.492 (0.0066)
  u     0.894 (0.0731)    0.687 -0.310 (0.0435)    1.360 -0.776 (0.0579)
  v     0.986 (0.1337)    0.640 -0.519 (0.0454)    1.766 -1.299 (0.0697)
  b     1.045 (0.1408)    0.694 -0.526 (0.0383)    1.833 -1.314 (0.0634)
  y     0.950 (0.0790)    0.754 -0.293 (0.0236)    1.390 -0.733 (0.0377)
  U     0.918 (0.0864)    0.680 -0.357 (0.0441)    1.454 -0.893 (0.0608)
  B     1.013 (0.1284)    0.689 -0.485 (0.0379)    1.740 -1.212 (0.0609)
  V     0.926 (0.0673)    0.757 -0.253 (0.0235)    1.306 -0.633 (0.0357)
  R     0.786 (0.0186)    0.774 -0.018 (0.0215)    0.814 -0.046 (0.0224)
  I     0.613 (0.0474)    0.691  0.117 (0.0185)    0.437  0.293 (0.0129)
  J     0.494 (0.0580)    0.609  0.171 (0.0102)    0.238  0.428 (0.0024)
  K     0.310 (0.1169)    0.537  0.340 (0.0204)   -0.201  0.850 (0.0040)
  L     0.239 (0.0838)    0.402  0.244 (0.0146)   -0.127  0.610 (0.0028)
  M     0.158 (0.0550)    0.256  0.147 (0.0167)   -0.063  0.368 (0.0097)
  N     0.122 (0.0369)    0.192  0.104 (0.0082)   -0.034  0.261 (0.0032)
  Rc    0.827 (0.0202)    0.783 -0.067 (0.0215)    0.927 -0.167 (0.0247)
  Ic    0.683 (0.0404)    0.741  0.087 (0.0205)    0.552  0.217 (0.0164)
 230    0.996 (0.0015)    1.000  0.007 (0.0016)    0.986  0.017 (0.0019)
 250    0.901 (0.0439)    0.999  0.148 (0.0029)    0.679  0.369 (0.0100)
 270    0.809 (0.0731)    0.966  0.236 (0.0010)    0.455  0.590 (0.0110)
 290    0.743 (0.0916)    0.934  0.287 (0.0058)    0.312  0.717 (0.0081)
 310    0.720 (0.0678)    0.840  0.181 (0.0180)    0.449  0.451 (0.0095)
 330    0.793 (0.0249)    0.728 -0.098 (0.0333)    0.940 -0.244 (0.0378)
 TyB    1.010 (0.1354)    0.667 -0.514 (0.0403)    1.781 -1.285 (0.0646)
 TyV    0.941 (0.0760)    0.750 -0.286 (0.0256)    1.370 -0.716 (0.0394)
 HIP    0.889 (0.0495)    0.761 -0.192 (0.0246)    1.177 -0.480 (0.0339)
 858    0.636 (0.0589)    0.730  0.141 (0.0249)    0.424  0.353 (0.0182)


          Teff = 3500 K,  log g = 1.0,  [M/H] = -1.0

 bolo   0.476 (0.0697)    0.606  0.195 (0.0162)    0.183  0.487 (0.0068)
  u     1.003 (0.1280)    0.658 -0.518 (0.0550)    1.779 -1.295 (0.0790)
  v     1.049 (0.1562)    0.654 -0.592 (0.0442)    1.937 -1.480 (0.0720)
  b     1.079 (0.1436)    0.727 -0.528 (0.0339)    1.871 -1.320 (0.0591)
  y     0.959 (0.0746)    0.775 -0.277 (0.0220)    1.374 -0.691 (0.0353)
  U     1.006 (0.1284)    0.665 -0.510 (0.0504)    1.771 -1.276 (0.0742)
  B     1.046 (0.1343)    0.713 -0.500 (0.0349)    1.796 -1.250 (0.0586)
  V     0.934 (0.0631)    0.775 -0.237 (0.0221)    1.290 -0.594 (0.0335)
  R     0.788 (0.0183)    0.770 -0.026 (0.0217)    0.827 -0.066 (0.0230)
  I     0.610 (0.0454)    0.684  0.111 (0.0185)    0.444  0.276 (0.0132)
  J     0.489 (0.0575)    0.603  0.170 (0.0101)    0.235  0.424 (0.0025)
  K     0.306 (0.1171)    0.533  0.341 (0.0202)   -0.206  0.852 (0.0039)
  L     0.238 (0.0834)    0.400  0.244 (0.0141)   -0.128  0.609 (0.0024)
  M     0.151 (0.0507)    0.242  0.136 (0.0154)   -0.052  0.339 (0.0090)
  N     0.121 (0.0360)    0.189  0.102 (0.0078)   -0.032  0.256 (0.0029)
  Rc    0.831 (0.0207)    0.784 -0.070 (0.0213)    0.936 -0.175 (0.0247)
  Ic    0.682 (0.0374)    0.732  0.075 (0.0208)    0.569  0.189 (0.0172)
 230    0.977 (0.0116)    1.006  0.044 (0.0031)    0.912  0.109 (0.0052)
 250    0.868 (0.0595)    1.000  0.197 (0.0026)    0.572  0.494 (0.0121)
 270    0.769 (0.0911)    0.963  0.291 (0.0025)    0.332  0.728 (0.0120)
 290    0.703 (0.1068)    0.923  0.330 (0.0089)    0.208  0.824 (0.0072)
 310    0.745 (0.0507)    0.806  0.092 (0.0281)    0.607  0.230 (0.0238)
 330    0.918 (0.0840)    0.677 -0.362 (0.0519)    1.461 -0.904 (0.0686)
 TyB    1.053 (0.1458)    0.691 -0.543 (0.0371)    1.868 -1.358 (0.0628)
 TyV    0.951 (0.0726)    0.769 -0.273 (0.0240)    1.361 -0.682 (0.0371)
 HIP    0.902 (0.0511)    0.770 -0.197 (0.0237)    1.197 -0.492 (0.0332)
 858    0.637 (0.0528)    0.718  0.122 (0.0241)    0.453  0.306 (0.0184)


          Teff = 3500 K,  log g = 1.5,  [M/H] = -1.0

 bolo   0.474 (0.0684)    0.601  0.190 (0.0164)    0.189  0.475 (0.0072)
  u     1.083 (0.1637)    0.652 -0.646 (0.0597)    2.052 -1.615 (0.0896)
  v     1.083 (0.1620)    0.679 -0.606 (0.0408)    1.991 -1.514 (0.0692)
  b     1.096 (0.1395)    0.755 -0.511 (0.0313)    1.862 -1.277 (0.0557)
  y     0.960 (0.0693)    0.786 -0.260 (0.0223)    1.350 -0.650 (0.0348)
  U     1.061 (0.1503)    0.671 -0.585 (0.0511)    1.939 -1.463 (0.0784)
  B     1.062 (0.1322)    0.736 -0.490 (0.0326)    1.797 -1.224 (0.0559)
  V     0.933 (0.0581)    0.786 -0.221 (0.0221)    1.265 -0.553 (0.0328)
  R     0.784 (0.0185)    0.764 -0.031 (0.0222)    0.831 -0.078 (0.0237)
  I     0.604 (0.0446)    0.675  0.106 (0.0189)    0.445  0.265 (0.0139)
  J     0.484 (0.0569)    0.594  0.166 (0.0110)    0.235  0.415 (0.0034)
  K     0.304 (0.1152)    0.529  0.337 (0.0193)   -0.201  0.842 (0.0032)
  L     0.237 (0.0814)    0.396  0.239 (0.0135)   -0.121  0.597 (0.0020)
  M     0.150 (0.0476)    0.235  0.127 (0.0145)   -0.041  0.319 (0.0085)
  N     0.117 (0.0354)    0.183  0.100 (0.0081)   -0.033  0.249 (0.0033)
  Rc    0.829 (0.0211)    0.781 -0.072 (0.0216)    0.938 -0.181 (0.0251)
  Ic    0.677 (0.0357)    0.722  0.068 (0.0212)    0.575  0.169 (0.0180)
 230    0.957 (0.0231)    1.013  0.084 (0.0047)    0.831  0.210 (0.0087)
 250    0.835 (0.0759)    1.001  0.250 (0.0025)    0.459  0.625 (0.0144)
 270    0.731 (0.1070)    0.956  0.337 (0.0052)    0.225  0.843 (0.0116)
 290    0.674 (0.1153)    0.905  0.347 (0.0137)    0.153  0.868 (0.0040)
 310    0.804 (0.0305)    0.768 -0.055 (0.0407)    0.886 -0.137 (0.0432)
 330    1.052 (0.1505)    0.642 -0.615 (0.0669)    1.974 -1.538 (0.0952)
 TyB    1.075 (0.1450)    0.718 -0.536 (0.0341)    1.879 -1.340 (0.0594)
 TyV    0.952 (0.0676)    0.781 -0.256 (0.0238)    1.336 -0.641 (0.0361)
 HIP    0.905 (0.0504)    0.775 -0.195 (0.0237)    1.198 -0.488 (0.0331)
 858    0.633 (0.0487)    0.705  0.109 (0.0235)    0.469  0.273 (0.0183)


          Teff = 3500 K,  log g = 2.0,  [M/H] = -1.0

 bolo   0.450 (0.0724)    0.584  0.202 (0.0171)    0.147  0.504 (0.0074)
  u     1.054 (0.1384)    0.693 -0.542 (0.0477)    1.867 -1.355 (0.0728)
  v     1.030 (0.1253)    0.717 -0.471 (0.0324)    1.737 -1.177 (0.0543)
  b     1.039 (0.1042)    0.780 -0.389 (0.0274)    1.623 -0.973 (0.0458)
  y     0.895 (0.0387)    0.791 -0.156 (0.0216)    1.129 -0.389 (0.0291)
  U     1.016 (0.1182)    0.709 -0.460 (0.0400)    1.707 -1.151 (0.0614)
  B     1.003 (0.0962)    0.761 -0.364 (0.0278)    1.549 -0.910 (0.0449)
  V     0.869 (0.0295)    0.789 -0.121 (0.0214)    1.050 -0.301 (0.0271)
  R     0.731 (0.0285)    0.755  0.036 (0.0215)    0.676  0.091 (0.0197)
  I     0.558 (0.0586)    0.657  0.149 (0.0204)    0.335  0.371 (0.0133)
  J     0.450 (0.0617)    0.565  0.172 (0.0153)    0.193  0.429 (0.0071)
  K     0.300 (0.1098)    0.516  0.323 (0.0172)   -0.185  0.808 (0.0018)
  L     0.231 (0.0749)    0.377  0.219 (0.0130)   -0.098  0.548 (0.0026)
  M     0.151 (0.0464)    0.234  0.125 (0.0135)   -0.037  0.313 (0.0075)
  N     0.107 (0.0365)    0.173  0.100 (0.0096)   -0.043  0.250 (0.0048)
  Rc    0.773 (0.0206)    0.775  0.002 (0.0209)    0.770  0.006 (0.0208)
  Ic    0.627 (0.0510)    0.708  0.121 (0.0212)    0.446  0.302 (0.0154)
 230    0.925 (0.0395)    1.018  0.139 (0.0056)    0.717  0.347 (0.0123)
 250    0.796 (0.0930)    0.997  0.302 (0.0014)    0.343  0.755 (0.0151)
 270    0.699 (0.1174)    0.940  0.362 (0.0098)    0.157  0.904 (0.0085)
 290    0.666 (0.1107)    0.879  0.320 (0.0194)    0.187  0.799 (0.0049)
 310    0.834 (0.0300)    0.761 -0.110 (0.0409)    0.998 -0.274 (0.0460)
 330    1.075 (0.1529)    0.667 -0.612 (0.0599)    1.992 -1.529 (0.0881)
 TyB    1.019 (0.1082)    0.748 -0.406 (0.0282)    1.627 -1.014 (0.0473)
 TyV    0.887 (0.0371)    0.787 -0.151 (0.0225)    1.113 -0.376 (0.0297)
 HIP    0.847 (0.0257)    0.778 -0.104 (0.0223)    1.002 -0.259 (0.0272)
 858    0.586 (0.0622)    0.692  0.158 (0.0219)    0.349  0.396 (0.0144)


          Teff = 3500 K,  log g = 2.5,  [M/H] = -1.0

 bolo   0.385 (0.0855)    0.547  0.244 (0.0179)    0.020  0.609 (0.0062)
  u     0.906 (0.0465)    0.784 -0.183 (0.0171)    1.180 -0.457 (0.0257)
  v     0.846 (0.0214)    0.786 -0.089 (0.0109)    0.980 -0.224 (0.0150)
  b     0.844 (0.0080)    0.829 -0.023 (0.0112)    0.879 -0.059 (0.0123)
  y     0.726 (0.0479)    0.813  0.130 (0.0117)    0.531  0.326 (0.0056)
  U     0.860 (0.0263)    0.788 -0.109 (0.0139)    1.024 -0.272 (0.0190)
  B     0.819 (0.0087)    0.810 -0.013 (0.0112)    0.837 -0.031 (0.0117)
  V     0.706 (0.0543)    0.806  0.150 (0.0124)    0.481  0.375 (0.0053)
  R     0.606 (0.0793)    0.759  0.230 (0.0148)    0.261  0.575 (0.0040)
  I     0.461 (0.0957)    0.645  0.275 (0.0184)    0.048  0.689 (0.0051)
  J     0.360 (0.0858)    0.519  0.238 (0.0205)    0.003  0.595 (0.0090)
  K     0.278 (0.0911)    0.453  0.262 (0.0186)   -0.115  0.655 (0.0061)
  L     0.193 (0.0663)    0.314  0.182 (0.0173)   -0.080  0.455 (0.0086)
  M     0.139 (0.0502)    0.232  0.139 (0.0128)   -0.069  0.348 (0.0062)
  N     0.092 (0.0408)    0.166  0.112 (0.0107)   -0.075  0.279 (0.0053)
  Rc    0.636 (0.0748)    0.781  0.217 (0.0138)    0.311  0.542 (0.0035)
  Ic    0.522 (0.0930)    0.702  0.271 (0.0169)    0.116  0.677 (0.0040)
 230    0.889 (0.0571)    1.019  0.195 (0.0053)    0.596  0.488 (0.0147)
 250    0.759 (0.1072)    0.987  0.342 (0.0030)    0.246  0.856 (0.0143)
 270    0.681 (0.1196)    0.919  0.357 (0.0151)    0.145  0.894 (0.0043)
 290    0.681 (0.0963)    0.854  0.260 (0.0246)    0.291  0.651 (0.0123)
 310    0.812 (0.0226)    0.791 -0.032 (0.0283)    0.860 -0.080 (0.0298)
 330    0.954 (0.0726)    0.764 -0.285 (0.0268)    1.382 -0.713 (0.0402)
 TyB    0.833 (0.0095)    0.805 -0.043 (0.0105)    0.897 -0.107 (0.0124)
 TyV    0.721 (0.0484)    0.808  0.130 (0.0124)    0.525  0.326 (0.0062)
 HIP    0.691 (0.0559)    0.795  0.155 (0.0129)    0.459  0.387 (0.0055)
 858    0.490 (0.0992)    0.684  0.291 (0.0172)    0.054  0.727 (0.0037)


          Teff = 3500 K,  log g = 3.0,  [M/H] = -1.0

 bolo   0.309 (0.1013)    0.501  0.288 (0.0211)   -0.124  0.721 (0.0072)
  u     0.797 (0.0218)    0.844  0.071 (0.0009)    0.691  0.177 (0.0033)
  v     0.706 (0.0565)    0.826  0.180 (0.0022)    0.436  0.450 (0.0085)
  b     0.683 (0.0813)    0.853  0.255 (0.0041)    0.300  0.639 (0.0093)
  y     0.597 (0.1064)    0.816  0.328 (0.0089)    0.106  0.819 (0.0075)
  U     0.749 (0.0405)    0.835  0.130 (0.0010)    0.554  0.325 (0.0057)
  B     0.675 (0.0767)    0.835  0.241 (0.0040)    0.314  0.602 (0.0083)
  V     0.583 (0.1088)    0.805  0.333 (0.0102)    0.083  0.833 (0.0064)
  R     0.509 (0.1192)    0.751  0.362 (0.0132)   -0.034  0.905 (0.0045)
  I     0.389 (0.1221)    0.628  0.359 (0.0194)   -0.148  0.896 (0.0026)
  J     0.282 (0.1072)    0.482  0.300 (0.0246)   -0.167  0.749 (0.0102)
  K     0.194 (0.0867)    0.351  0.235 (0.0241)   -0.158  0.588 (0.0128)
  L     0.137 (0.0672)    0.256  0.179 (0.0200)   -0.131  0.447 (0.0115)
  M     0.126 (0.0556)    0.230  0.155 (0.0131)   -0.107  0.389 (0.0057)
