  -1.035481210D+03   2.636461700D+03  -3.138510350D+03   2.669216500D+03  -1.754256490D+03   9.050615660D+02  -3.612164840D+02   1.065608860D+02  -2.099411980D+01   2.105318290D+00
  -7.816709630D+01   2.258281100D+02  -2.559288740D+02   2.083536860D+02  -1.316365470D+02   6.553745820D+01  -2.532985480D+01   7.259282830D+00  -1.393142180D+00   1.363454370D-01
  -5.889716260D+01   1.904235060D+02  -2.247781890D+02   1.897213350D+02  -1.238031880D+02   6.346618160D+01  -2.519227430D+01   7.399468530D+00  -1.453101130D+00   1.454217830D-01
  -5.304095840D+01   1.816710670D+02  -2.202390230D+02   1.914273850D+02  -1.287656840D+02   6.804250440D+01  -2.782416020D+01   8.412347360D+00  -1.699142030D+00   1.748202890D-01
  -4.824263840D-01   4.867413620D+01  -5.784542810D+01   4.955397810D+01  -3.290872700D+01   1.718629090D+01  -6.951496390D+00   2.080382710D+00  -4.162027630D-01   4.243954360D-02
  -8.293700420D+02   2.115423630D+03  -2.512607790D+03   2.131967230D+03  -1.398064650D+03   7.198420810D+02  -2.867905300D+02   8.448089630D+01  -1.662457280D+01   1.665672710D+00
  -6.542452340D+01   1.952705230D+02  -2.214670380D+02   1.803892160D+02  -1.140070940D+02   5.677284240D+01  -2.194524890D+01   6.289681730D+00  -1.207079550D+00   1.181329480D-01
  -4.817353790D+01   1.630252020D+02  -1.924841640D+02   1.625368390D+02  -1.061012120D+02   5.440274700D+01  -2.159619930D+01   6.343009860D+00  -1.245494370D+00   1.246245830D-01
  -4.184003150D+01   1.521911540D+02  -1.842376560D+02   1.599751890D+02  -1.075179430D+02   5.677267260D+01  -2.320048490D+01   7.010365050D+00  -1.415238850D+00   1.455434530D-01
   6.519257470D-01   4.502758840D+01  -5.340261770D+01   4.568154900D+01  -3.029843870D+01   1.580460230D+01  -6.385670050D+00   1.909092190D+00  -3.815647360D-01   3.887163170D-02
  -7.891984290D+02   2.018351140D+03  -2.401556490D+03   2.041035630D+03  -1.340309480D+03   6.908907420D+02  -2.754915660D+02   8.119851450D+01  -1.598316930D+01   1.601422620D+00
  -5.674629930D+01   1.743576480D+02  -1.978951690D+02   1.612965660D+02  -1.020018790D+02   5.082294680D+01  -1.965547680D+01   5.636074660D+00  -1.082112050D+00   1.059453970D-01
  -4.097091340D+01   1.445376290D+02  -1.706797450D+02   1.441843850D+02  -9.415882480D+01   4.829477450D+01  -1.917576000D+01   5.632818690D+00  -1.106093120D+00   1.106734770D-01
  -3.483740160D+01   1.336613460D+02  -1.616040260D+02   1.401951630D+02  -9.414984520D+01   4.967873480D+01  -2.028845400D+01   6.126856830D+00  -1.236213190D+00   1.270693820D-01
