          Teff = 3500 K,  log g = 0.0,  [M/H] = +1.0

 bolo   0.474 (0.0682)    0.597  0.184 (0.0190)    0.198  0.460 (0.0102)
  u     0.642 (0.1153)    0.869  0.340 (0.0184)    0.132  0.851 (0.0020)
  v     0.685 (0.0810)    0.825  0.209 (0.0245)    0.371  0.524 (0.0145)
  b     1.110 (0.1026)    0.844 -0.399 (0.0375)    1.709 -0.998 (0.0564)
  y     1.017 (0.0636)    0.846 -0.256 (0.0321)    1.401 -0.640 (0.0443)
  U     0.635 (0.1149)    0.859  0.336 (0.0197)    0.132  0.839 (0.0035)
  B     1.004 (0.0612)    0.835 -0.254 (0.0361)    1.385 -0.635 (0.0481)
  V     1.007 (0.0620)    0.840 -0.251 (0.0330)    1.384 -0.627 (0.0450)
  R     0.835 (0.0254)    0.803 -0.048 (0.0323)    0.907 -0.121 (0.0347)
  I     0.661 (0.0594)    0.752  0.136 (0.0260)    0.457  0.341 (0.0194)
  J     0.487 (0.0648)    0.607  0.179 (0.0177)    0.218  0.448 (0.0093)
  K     0.310 (0.0962)    0.498  0.282 (0.0165)   -0.113  0.704 (0.0030)
  L     0.220 (0.0729)    0.359  0.209 (0.0150)   -0.094  0.523 (0.0051)
  M     0.137 (0.0658)    0.251  0.171 (0.0220)   -0.120  0.428 (0.0138)
  N     0.105 (0.0390)    0.173  0.102 (0.0128)   -0.047  0.254 (0.0080)
  Rc    0.901 (0.0330)    0.813 -0.131 (0.0338)    1.098 -0.328 (0.0401)
  Ic    0.730 (0.0479)    0.789  0.088 (0.0280)    0.598  0.220 (0.0238)
 230    0.996 (0.0026)    1.003  0.011 (0.0010)    0.980  0.026 (0.0015)
 250    0.908 (0.0487)    1.019  0.166 (0.0044)    0.659  0.415 (0.0124)
 270    0.799 (0.0941)    1.000  0.301 (0.0024)    0.347  0.753 (0.0126)
 290    0.730 (0.1155)    0.967  0.356 (0.0100)    0.196  0.890 (0.0075)
 310    0.661 (0.1218)    0.901  0.361 (0.0184)    0.119  0.903 (0.0011)
 330    0.643 (0.1160)    0.871  0.343 (0.0185)    0.129  0.857 (0.0020)
 TyB    0.923 (0.0318)    0.834 -0.134 (0.0336)    1.124 -0.334 (0.0399)
 TyV    1.021 (0.0679)    0.838 -0.274 (0.0344)    1.432 -0.685 (0.0474)
 HIP    0.962 (0.0493)    0.826 -0.205 (0.0343)    1.269 -0.511 (0.0441)
 858    0.659 (0.0620)    0.736  0.116 (0.0361)    0.486  0.289 (0.0305)


          Teff = 3500 K,  log g = 0.5,  [M/H] = +1.0

 bolo   0.461 (0.0711)    0.588  0.191 (0.0201)    0.173  0.479 (0.0109)
  u     0.654 (0.1146)    0.880  0.339 (0.0181)    0.146  0.847 (0.0018)
  v     0.702 (0.0793)    0.836  0.202 (0.0250)    0.398  0.505 (0.0154)
  b     1.122 (0.1065)    0.845 -0.415 (0.0386)    1.744 -1.037 (0.0582)
  y     1.017 (0.0632)    0.846 -0.256 (0.0331)    1.401 -0.640 (0.0453)
  U     0.649 (0.1135)    0.870  0.332 (0.0195)    0.151  0.829 (0.0035)
  B     1.000 (0.0564)    0.842 -0.236 (0.0356)    1.355 -0.591 (0.0467)
  V     1.002 (0.0598)    0.839 -0.245 (0.0344)    1.369 -0.612 (0.0460)
