  -1.035481210e+03   2.636461700e+03  -3.138510350e+03   2.669216500e+03  -1.754256490e+03   9.050615660e+02  -3.612164840e+02   1.065608860e+02  -2.099411980e+01   2.105318290e+00
  -7.816709630e+01   2.258281100e+02  -2.559288740e+02   2.083536860e+02  -1.316365470e+02   6.553745820e+01  -2.532985480e+01   7.259282830e+00  -1.393142180e+00   1.363454370e-01
  -5.889716260e+01   1.904235060e+02  -2.247781890e+02   1.897213350e+02  -1.238031880e+02   6.346618160e+01  -2.519227430e+01   7.399468530e+00  -1.453101130e+00   1.454217830e-01
  -5.304095840e+01   1.816710670e+02  -2.202390230e+02   1.914273850e+02  -1.287656840e+02   6.804250440e+01  -2.782416020e+01   8.412347360e+00  -1.699142030e+00   1.748202890e-01
  -4.824263840e-01   4.867413620e+01  -5.784542810e+01   4.955397810e+01  -3.290872700e+01   1.718629090e+01  -6.951496390e+00   2.080382710e+00  -4.162027630e-01   4.243954360e-02
  -8.293700420e+02   2.115423630e+03  -2.512607790e+03   2.131967230e+03  -1.398064650e+03   7.198420810e+02  -2.867905300e+02   8.448089630e+01  -1.662457280e+01   1.665672710e+00
  -6.542452340e+01   1.952705230e+02  -2.214670380e+02   1.803892160e+02  -1.140070940e+02   5.677284240e+01  -2.194524890e+01   6.289681730e+00  -1.207079550e+00   1.181329480e-01
  -4.817353790e+01   1.630252020e+02  -1.924841640e+02   1.625368390e+02  -1.061012120e+02   5.440274700e+01  -2.159619930e+01   6.343009860e+00  -1.245494370e+00   1.246245830e-01
  -4.184003150e+01   1.521911540e+02  -1.842376560e+02   1.599751890e+02  -1.075179430e+02   5.677267260e+01  -2.320048490e+01   7.010365050e+00  -1.415238850e+00   1.455434530e-01
   6.519257470e-01   4.502758840e+01  -5.340261770e+01   4.568154900e+01  -3.029843870e+01   1.580460230e+01  -6.385670050e+00   1.909092190e+00  -3.815647360e-01   3.887163170e-02
  -7.891984290e+02   2.018351140e+03  -2.401556490e+03   2.041035630e+03  -1.340309480e+03   6.908907420e+02  -2.754915660e+02   8.119851450e+01  -1.598316930e+01   1.601422620e+00
